Province,Day,Min Price,Max Price,Avg Price,Avg Selling Price
Jawa Timur,2023-01-31,4500.0000000000000000,4700.0000000000000000,4530.0000000000000000,4535.664818777697
Jawa Timur,2023-02-01,4400.0000000000000000,4700.0000000000000000,4566.6666666666666667,4561.0365239939265
Jawa Timur,2023-02-02,4500.0000000000000000,4500.0000000000000000,4500.0000000000000000,4500.0
Jawa Timur,2023-02-03,4150.0000000000000000,4700.0000000000000000,4546.6666666666666667,4593.739742990954
Jawa Timur,2023-02-04,4500.0000000000000000,4600.0000000000000000,4525.0000000000000000,4521.743563599286
Jawa Timur,2023-02-06,4400.0000000000000000,4850.0000000000000000,4575.0000000000000000,4578.586609989373
Jawa Timur,2023-02-07,4400.0000000000000000,4850.0000000000000000,4600.0000000000000000,4601.579092415561
Jawa Timur,2023-02-08,4500.0000000000000000,4850.0000000000000000,4663.3333333333333333,4664.320196163571
Jawa Timur,2023-02-09,4400.0000000000000000,4850.0000000000000000,4628.5714285714285714,4633.279840931864
Jawa Timur,2023-02-10,4400.0000000000000000,4850.0000000000000000,4640.0000000000000000,4651.929672774465
Jawa Timur,2023-02-11,4500.0000000000000000,4600.0000000000000000,4550.0000000000000000,4541.4851253220895
Jawa Timur,2023-02-13,4800.0000000000000000,4800.0000000000000000,4800.0000000000000000,4800.0
Jawa Timur,2023-02-14,4400.0000000000000000,4800.0000000000000000,4579.1666666666666667,4580.943025540275
Jawa Timur,2023-02-15,4400.0000000000000000,4800.0000000000000000,4562.5000000000000000,4556.045344094884
Jawa Timur,2023-02-16,4400.0000000000000000,4800.0000000000000000,4516.6666666666666667,4496.578670073388
Jawa Timur,2023-02-17,4400.0000000000000000,4900.0000000000000000,4731.2500000000000000,4743.1474820143885
Jawa Timur,2023-02-20,4500.0000000000000000,5050.0000000000000000,4803.8461538461538462,4804.903100775194
Jawa Timur,2023-02-21,4950.0000000000000000,5100.0000000000000000,5001.2820512820512821,5001.314916728101
Jawa Timur,2023-02-22,4900.0000000000000000,5100.0000000000000000,5000.0000000000000000,5002.030402066828
Jawa Timur,2023-02-23,5000,5100.0000000000000000,5064.2857142857142857,5065.530418784978
Jawa Timur,2023-02-24,5000.0000000000000000,5200.0000000000000000,5113.6363636363636364,5116.9773628503035
